vendor_id,name,event_types,city,min_budget,max_budget,rating,contact
91,Charming Moments,"exhibition,birthday",Delhi,91000,147559,4.8,charmingmoments@example.com
92,Fusion Bash,"concert,anniversary,corporate",Hyderabad,92000,115761,4.2,fusionbash@example.com
93,Golden Catering,"birthday,conference",Kolkata,93000,157608,3.9,goldencatering@example.com
94,Charming Moments,"wedding,concert,birthday",Delhi,94000,145635,4.6,charmingmoments@example.com
95,Urban Vibes,anniversary,Jaipur,95000,179332,4.2,urbanvibes@example.com
96,Elite Decor,"birthday,corporate",Chennai,96000,156135,4.5,elitedecor@example.com
97,Golden Bash,"concert,conference,corporate",Hyderabad,97000,163112,4.6,goldenbash@example.com
98,Bright Moments,"birthday,wedding",Chennai,98000,159359,3.7,brightmoments@example.com
99,Mega Catering,birthday,Jaipur,99000,155241,4.6,megacatering@example.com
100,Mega Galaxy,"wedding,birthday",Kolkata,100000,149816,4.0,megagalaxy@example.com
101,Bright Events,"concert,birthday,conference",Mumbai,101000,128146,4.3,brightevents@example.com
102,Happy Bash,exhibition,Mumbai,102000,197243,3.9,happybash@example.com
103,Urban Bash,"birthday,wedding",Kolkata,103000,185616,3.7,urbanbash@example.com
104,Royal Beats,"wedding,concert",Mumbai,104000,143887,3.7,royalbeats@example.com
105,Charming Moments,birthday,Delhi,105000,198147,4.6,charmingmoments@example.com
106,Charming Galaxy,"birthday,concert,corporate",Jaipur,106000,184028,3.9,charminggalaxy@example.com
107,Charming Beats,"concert,exhibition",Mumbai,107000,206905,4.9,charmingbeats@example.com
108,Royal Venues,"birthday,conference,wedding",Bengaluru,108000,159439,3.8,royalvenues@example.com
109,Royal Catering,corporate,Jaipur,109000,206832,4.2,royalcatering@example.com
110,Elite Venues,"anniversary,conference",Jaipur,110000,139329,4.5,elitevenues@example.com
111,Bright Galaxy,"exhibition,birthday,corporate",Delhi,111000,202376,3.8,brightgalaxy@example.com
112,Happy Moments,wedding,Mumbai,112000,153747,4.7,happymoments@example.com
113,Charming Galaxy,"corporate,wedding",Jaipur,113000,172857,4.5,charminggalaxy@example.com
114,Bright Vibes,"corporate,exhibition,wedding",Mumbai,114000,190626,4.6,brightvibes@example.com
115,Charming Moments,wedding,Chennai,115000,210392,4.4,charmingmoments@example.com
116,Elite Moments,"wedding,birthday,corporate",Jaipur,116000,172458,3.8,elitemoments@example.com
117,Charming Beats,"exhibition,corporate,wedding",Jaipur,117000,182607,4.1,charmingbeats@example.com
118,Golden Decor,conference,Pune,118000,202942,3.9,goldendecor@example.com
119,Sky Vibes,corporate,Delhi,119000,180224,3.9,skyvibes@example.com
120,Royal Beats,"exhibition,wedding,concert",Jaipur,120000,194165,3.6,royalbeats@example.com
121,Mega Flair,"exhibition,corporate,anniversary",Mumbai,121000,167680,3.9,megaflair@example.com
122,Happy Moments,"anniversary,corporate",Delhi,122000,145783,5.0,happymoments@example.com
123,Charming Venues,"birthday,conference,concert",Mumbai,123000,215384,4.1,charmingvenues@example.com
124,Fusion Decor,"wedding,anniversary",Bengaluru,124000,209323,4.9,fusiondecor@example.com
125,Bright Vibes,"conference,corporate,anniversary",Jaipur,125000,176946,4.2,brightvibes@example.com
126,Happy Beats,concert,Bengaluru,126000,155150,3.9,happybeats@example.com
127,Sky Flair,"conference,wedding,exhibition",Kolkata,127000,223931,4.4,skyflair@example.com
128,Urban Catering,"concert,corporate",Hyderabad,128000,191573,4.3,urbancatering@example.com
129,Mega Beats,"conference,birthday",Chennai,129000,223946,4.1,megabeats@example.com
130,Sky Events,"anniversary,corporate",Pune,130000,200604,5.0,skyevents@example.com
131,Happy Bash,birthday,Hyderabad,131000,164154,4.8,happybash@example.com
132,Urban Decor,"corporate,wedding,birthday",Pune,132000,172232,3.6,urbandecor@example.com
133,Bright Flair,"anniversary,corporate,wedding",Hyderabad,133000,222942,4.1,brightflair@example.com
134,Golden Bash,"wedding,concert,exhibition",Chennai,134000,191667,5.0,goldenbash@example.com
135,Royal Beats,exhibition,Delhi,135000,213153,3.7,royalbeats@example.com
136,Bright Events,conference,Mumbai,136000,194452,4.0,brightevents@example.com
137,Sky Catering,concert,Pune,137000,231177,4.5,skycatering@example.com
138,Happy Catering,wedding,Pune,138000,189566,4.2,happycatering@example.com
139,Charming Catering,corporate,Kolkata,139000,219236,3.9,charmingcatering@example.com
140,Elite Bash,"anniversary,concert",Bengaluru,140000,169681,4.2,elitebash@example.com
141,Golden Galaxy,"anniversary,corporate",Kolkata,141000,220878,4.8,goldengalaxy@example.com
142,Fusion Beats,"wedding,birthday",Pune,142000,236963,4.0,fusionbeats@example.com
143,Bright Moments,exhibition,Pune,143000,198976,3.5,brightmoments@example.com
144,Elite Galaxy,"corporate,conference,birthday",Hyderabad,144000,192705,4.5,elitegalaxy@example.com
145,Charming Moments,"exhibition,anniversary,birthday",Delhi,145000,170167,4.0,charmingmoments@example.com
146,Urban Events,"conference,anniversary,birthday",Delhi,146000,204680,4.0,urbanevents@example.com
147,Sky Catering,birthday,Hyderabad,147000,236579,4.3,skycatering@example.com
148,Bright Catering,"exhibition,corporate",Kolkata,148000,212396,4.7,brightcatering@example.com
149,Urban Decor,exhibition,Chennai,149000,221089,5.0,urbandecor@example.com
150,Mega Flair,exhibition,Pune,150000,171824,3.9,megaflair@example.com
